RowLabel,ColLabel,Value,x,y
kinship,animals,0.42011454701423645,1,10
kinship,artifact,0.26678672432899475,2,10
kinship,body,0.43164926767349243,3,10
kinship,cognition,0.35916194319725037,4,10
kinship,colors,0.39358487725257874,5,10
kinship,conflict,0.4462195634841919,6,10
kinship,evaluative.negative,0.3823547661304474,7,10
kinship,evaluative.positive,0.4071521461009979,8,10
kinship,exchange,0.42041707038879395,9,10
kinship,kinship,0.6699463725090027,10,10
kinship,medicine,0.4942910373210907,11,10
kinship,movement,0.40880057215690613,12,10
kinship,person,0.5110558867454529,13,10
kinship,place,0.3648674190044403,14,10
kinship,plants_and_food,0.396877646446228,15,10
kinship,quantity,0.35394003987312317,16,10
kinship,relational,0.44672486186027527,17,10
kinship,sense.auditory,0.3852737247943878,18,10
kinship,sense.visual,0.35712024569511414,19,10
kinship,shapes,0.37307822704315186,20,10
kinship,size,0.34026607871055603,21,10
kinship,spatial,0.4421243369579315,22,10
kinship,substance,0.39487898349761963,23,10
kinship,temperature,0.2915407121181488,24,10
kinship,time.period,0.3557187616825104,25,10
kinship,time.relative,0.32703864574432373,26,10
medicine,action,0.4695899784564972,0,11
medicine,animals,0.4269281029701233,1,11
medicine,artifact,0.45645442605018616,2,11
medicine,body,0.5308546423912048,3,11
medicine,cognition,0.370473176240921,4,11
medicine,colors,0.4641895890235901,5,11
medicine,conflict,0.5223426222801208,6,11
medicine,evaluative.negative,0.5898863077163696,7,11
medicine,evaluative.positive,0.44570186734199524,8,11
medicine,exchange,0.5268956422805786,9,11
medicine,kinship,0.4942910373210907,10,11
medicine,medicine,0.9999998807907104,11,11
medicine,movement,0.5439647436141968,12,11
medicine,person,0.3435083031654358,13,11
medicine,place,0.33852341771125793,14,11
medicine,plants_and_food,0.5863676071166992,15,11
medicine,quantity,0.403922975063324,16,11
medicine,relational,0.4427540600299835,17,11
medicine,sense.auditory,0.16009411215782166,18,11
medicine,sense.visual,0.3874056339263916,19,11
medicine,shapes,0.4908544421195984,20,11
medicine,size,0.48894643783569336,21,11
medicine,spatial,0.49587953090667725,22,11
medicine,substance,0.5885303616523743,23,11
medicine,temperature,0.4931764006614685,24,11
medicine,time.period,0.40101927518844604,25,11
medicine,time.relative,0.45983362197875977,26,11
